Show,Season,Episode,Title,Year,Total votes,Average rating,z score
Breaking Bad,1,1,Pilot,2008,"32,207",9.00,1.40
Breaking Bad,1,2,Cat's in the Bag...,2008,"23,560",8.60,0.78
Breaking Bad,1,3,...And the Bag's in the River,2008,"22,857",8.70,0.93
Breaking Bad,1,4,Cancer Man,2008,"22,068",8.20,0.16
Breaking Bad,1,5,Gray Matter,2008,"21,673",8.30,0.31
Breaking Bad,1,6,Crazy Handful of Nothin',2008,"25,286",9.30,1.86
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,2008,"22,104",8.80,1.09
Breaking Bad,2,1,Seven Thirty-Seven,2009,"20,015",8.60,0.78
Breaking Bad,2,2,Grilled,2009,"23,068",9.30,1.86
Breaking Bad,2,3,Bit by a Dead Bee,2009,"19,328",8.30,0.31
Breaking Bad,2,4,Down,2009,"19,462",8.20,0.16
Breaking Bad,2,5,Breakage,2009,"18,921",8.30,0.31
Breaking Bad,2,6,Peekaboo,2009,"20,799",8.80,1.09
Breaking Bad,2,7,Negro y Azul,2009,"18,965",8.60,0.78
Breaking Bad,2,8,Better Call Saul,2009,"22,226",9.20,1.71
Breaking Bad,2,9,4 Days Out,2009,"21,518",9.10,1.55
Breaking Bad,2,10,Over,2009,"18,583",8.50,0.62
Breaking Bad,2,11,Mandala,2009,"19,145",8.90,1.24
Breaking Bad,2,12,Phoenix,2009,"21,486",9.20,1.71
Breaking Bad,2,13,ABQ,2009,"21,365",9.20,1.71
Breaking Bad,3,1,No Más,2010,"18,389",8.50,0.62
Breaking Bad,3,2,Caballo sin Nombre,2010,"17,919",8.60,0.78
Breaking Bad,3,3,I.F.T.,2010,"17,868",8.40,0.47
Breaking Bad,3,4,Green Light,2010,"18,086",8.20,0.16
Breaking Bad,3,5,Más,2010,"17,429",8.60,0.78
Breaking Bad,3,6,Sunset,2010,"20,509",9.30,1.86
Breaking Bad,3,7,One Minute,2010,"25,145",9.60,2.33
Breaking Bad,3,8,I See You,2010,"17,951",8.70,0.93
Breaking Bad,3,9,Kafkaesque,2010,"17,754",8.40,0.47
Breaking Bad,3,10,Fly,2010,"30,819",7.80,-0.47
Breaking Bad,3,11,Abiquiu,2010,"17,645",8.40,0.47
Breaking Bad,3,12,Half Measures,2010,"24,416",9.50,2.17
Breaking Bad,3,13,Full Measure,2010,"27,538",9.60,2.33
Breaking Bad,4,1,Box Cutter,2011,"21,944",9.20,1.71
Breaking Bad,4,2,Thirty-Eight Snub,2011,"18,302",8.20,0.16
Breaking Bad,4,3,Open House,2011,"18,521",8.00,-0.16
Breaking Bad,4,4,Bullet Points,2011,"17,515",8.60,0.78
Breaking Bad,4,5,Shotgun,2011,"17,540",8.60,0.78
Breaking Bad,4,6,Cornered,2011,"17,773",8.40,0.47
Breaking Bad,4,7,Problem Dog,2011,"18,363",8.80,1.09
Breaking Bad,4,8,Hermanos,2011,"20,653",9.20,1.71
Breaking Bad,4,9,Bug,2011,"18,601",8.80,1.09
Breaking Bad,4,10,Salud,2011,"25,825",9.60,2.33
Breaking Bad,4,11,Crawl Space,2011,"29,922",9.70,2.48
Breaking Bad,4,12,End Times,2011,"23,358",9.40,2.02
Breaking Bad,4,13,Face Off,2011,"57,564",9.90,2.79
Breaking Bad,5,1,Live Free or Die,2012,"25,255",9.20,1.71
Breaking Bad,5,2,Madrigal,2012,"21,756",8.80,1.09
Breaking Bad,5,3,Hazard Pay,2012,"21,227",8.80,1.09
Breaking Bad,5,4,Fifty-One,2012,"21,396",8.80,1.09
Breaking Bad,5,5,Dead Freight,2012,"30,959",9.60,2.33
Breaking Bad,5,6,Buyout,2012,"21,756",9.00,1.40
Breaking Bad,5,7,Say My Name,2012,"27,867",9.50,2.17
Breaking Bad,5,8,Gliding Over All,2012,"28,081",9.60,2.33
Breaking Bad,5,9,Blood Money,2013,"27,025",9.40,2.02
Breaking Bad,5,10,Buried,2013,"23,937",9.10,1.55
Breaking Bad,5,11,Confessions,2013,"28,906",9.60,2.33
Breaking Bad,5,12,Rabid Dog,2013,"24,994",9.10,1.55
Breaking Bad,5,13,To'hajiilee,2013,"42,143",9.80,2.64
Breaking Bad,5,14,Ozymandias,2013,"1,66,424",10.00,2.95
Breaking Bad,5,15,Granite State,2013,"41,887",9.60,2.33
Breaking Bad,5,16,Felina,2013,"1,10,640",9.90,2.79
Dexter,1,1,Dexter,2006,"8,884",8.70,0.93
Dexter,1,2,Crocodile,2006,"6,306",8.20,0.16
Dexter,1,3,Popping Cherry,2006,"5,909",8.30,0.31
Dexter,1,4,Let's Give the Boy a Hand,2006,"5,803",8.60,0.78
Dexter,1,5,Love American Style,2006,"5,561",8.50,0.62
Dexter,1,6,Return to Sender,2006,"5,836",8.90,1.24
Dexter,1,7,Circle of Friends,2006,"5,453",8.60,0.78
Dexter,1,8,Shrink Wrap,2006,"5,977",8.90,1.24
Dexter,1,9,Father Knows Best,2006,"5,304",8.50,0.62
Dexter,1,10,Seeing Red,2006,"5,964",9.10,1.55
Dexter,1,11,Truth Be Told,2006,"6,082",9.20,1.71
Dexter,1,12,Born Free,2006,"9,812",9.50,2.17
Dexter,2,1,It's Alive!,2007,"5,377",8.70,0.93
Dexter,2,2,Waiting to Exhale,2007,"4,904",8.50,0.62
Dexter,2,3,An Inconvenient Lie,2007,"4,866",8.60,0.78
Dexter,2,4,See-Through,2007,"4,657",8.40,0.47
Dexter,2,5,The Dark Defender,2007,"4,793",8.60,0.78
Dexter,2,6,"Dex, Lies, and Videotape",2007,"4,655",8.50,0.62
Dexter,2,7,"That Night, a Forest Grew",2007,"4,747",8.70,0.93
Dexter,2,8,Morning Comes,2007,"4,974",9.00,1.40
Dexter,2,9,Resistance Is Futile,2007,"5,593",9.30,1.86
Dexter,2,10,There's Something About Harry,2007,"4,793",8.90,1.24
Dexter,2,11,Left Turn Ahead,2007,"4,785",9.00,1.40
Dexter,2,12,The British Invasion,2007,"5,818",9.20,1.71
Dexter,3,1,Our Father,2008,"4,599",8.20,0.16
Dexter,3,2,Finding Freebo,2008,"4,325",8.40,0.47
Dexter,3,3,The Lion Sleeps Tonight,2008,"4,200",8.10,0.00
Dexter,3,4,All in the Family,2008,"4,161",8.00,-0.16
Dexter,3,5,Turning Biminese,2008,"4,123",8.40,0.47
Dexter,3,6,Sí Se Puede,2008,"4,074",8.10,0.00
Dexter,3,7,Easy As Pie,2008,"4,185",8.50,0.62
Dexter,3,8,The Damage A Man Can Do,2008,"4,104",8.50,0.62
Dexter,3,9,About Last Night,2008,"4,193",8.70,0.93
Dexter,3,10,Go Your Own Way,2008,"4,436",9.00,1.40
Dexter,3,11,I Had A Dream,2008,"4,261",8.80,1.09
Dexter,3,12,Do You Take Dexter Morgan?,2008,"4,571",8.80,1.09
Dexter,4,1,Living the Dream,2009,"4,696",8.60,0.78
Dexter,4,2,Remains to Be Seen,2009,"4,233",8.60,0.78
Dexter,4,3,Blinded by the Light,2009,"4,108",8.20,0.16
Dexter,4,4,Dex Takes A Holiday,2009,"4,879",9.10,1.55
Dexter,4,5,Dirty Harry,2009,"4,412",8.90,1.24
Dexter,4,6,If I Had a Hammer,2009,"4,151",8.60,0.78
Dexter,4,7,Slack Tide,2009,"4,074",8.40,0.47
Dexter,4,8,Road Kill,2009,"4,101",8.50,0.62
Dexter,4,9,Hungry Man,2009,"5,795",9.40,2.02
Dexter,4,10,Lost Boys,2009,"4,834",9.10,1.55
Dexter,4,11,"Hello, Dexter Morgan",2009,"6,249",9.50,2.17
Dexter,4,12,The Getaway,2009,"13,293",9.80,2.64
Dexter,5,1,My Bad,2010,"5,126",8.80,1.09
Dexter,5,2,Hello Bandit,2010,"3,990",8.10,0.00
Dexter,5,3,Practically Perfect,2010,"3,915",8.40,0.47
Dexter,5,4,Beauty And The Beast,2010,"3,907",8.40,0.47
Dexter,5,5,First Blood,2010,"3,853",8.00,-0.16
Dexter,5,6,Everything Is Illumenated,2010,"4,172",8.70,0.93
Dexter,5,7,Circle Us,2010,"3,828",8.40,0.47
Dexter,5,8,Take It!,2010,"4,046",8.80,1.09
Dexter,5,9,Teenage Wasteland,2010,"4,219",8.90,1.24
Dexter,5,10,In The Beginning,2010,"4,217",8.90,1.24
Dexter,5,11,Hop A Freighter,2010,"4,024",8.80,1.09
Dexter,5,12,The Big One,2010,"4,835",8.90,1.24
Dexter,6,1,Those Kinds of Things,2011,"5,062",8.50,0.62
Dexter,6,2,Once Upon a Time...,2011,"4,015",8.00,-0.16
Dexter,6,3,Smokey and the Bandit,2011,"3,893",8.10,0.00
Dexter,6,4,A Horse of a Different Color,2011,"3,920",8.40,0.47
Dexter,6,5,The Angel of Death,2011,"3,818",7.90,-0.31
Dexter,6,6,Just Let Go,2011,"3,948",8.40,0.47
Dexter,6,7,Nebraska,2011,"4,223",7.80,-0.47
Dexter,6,8,Sin of Omission,2011,"3,750",7.80,-0.47
Dexter,6,9,Get Gellar,2011,"4,104",8.50,0.62
Dexter,6,10,Ricochet Rabbit,2011,"3,738",8.00,-0.16
Dexter,6,11,Talk to the Hand,2011,"3,882",8.30,0.31
Dexter,6,12,This Is the Way the World Ends,2011,"6,128",9.10,1.55
Dexter,7,1,Are You...?,2012,"8,835",9.40,2.02
Dexter,7,2,Sunshine and Frosty Swirl,2012,"4,728",8.70,0.93
Dexter,7,3,Buck the System,2012,"4,317",8.60,0.78
